Fama-French Factors,,,,
,,,,
Date,RF,Mkt-RF,SMB,HML
2015/1/9,0,-0.85,-0.01,-0.4
2015/1/8,0,1.81,-0.12,-0.32
2015/1/7,0,1.19,0.17,-0.64
2015/1/6,0,-1.04,-0.79,-0.15
2015/1/5,0,-1.84,0.35,-0.74
2015/1/2,0,-0.11,-0.59,0.17
2014/12/31,0,-0.93,0.48,-0.44
2014/12/30,0,-0.48,0.06,0.23
2014/12/29,0,0.13,0.19,0.62
2014/12/26,0,0.39,0.35,-0.25
2014/12/24,0,0.07,0.36,-0.17
2014/12/23,0,0.21,-0.26,1.12
2014/12/22,0,0.37,0.18,-0.18
2014/12/19,0,0.43,-0.25,0.38
2014/12/18,0,2.36,-0.88,-0.18
2014/12/17,0,2.15,0.79,-0.03
2014/12/16,0,-0.8,0.61,0.66
2014/12/15,0,-0.68,-0.27,0.1
2014/12/12,0,-1.55,0.48,-0.63
2014/12/11,0,0.5,-0.09,-0.19
2014/12/10,0,-1.72,-0.58,-0.11
2014/12/9,0,0.13,1.73,-0.33
2014/12/8,0,-0.82,-0.53,0.14
2014/12/5,0,0.25,0.6,0.03
2014/12/4,0,-0.17,-0.28,0.01
2014/12/3,0,0.46,0.44,0.29
2014/12/2,0,0.65,0.42,-0.09
2014/12/1,0,-0.9,-0.93,0.6
2014/11/28,0,-0.34,-0.87,-1.27
2014/11/26,0,0.3,0.09,-0.46
2014/11/25,0,-0.09,0.06,-0.09
2014/11/24,0,0.4,0.94,-0.65
2014/11/21,0,0.48,-0.39,-0.05
2014/11/20,0,0.31,0.87,0.01
2014/11/19,0,-0.21,-0.93,-0.02
2014/11/18,0,0.51,0.02,-0.37
2014/11/17,0,-0.05,-0.95,0.3
2014/11/14,0,0.06,-0.15,0.18
2014/11/13,0,-0.03,-0.91,-0.39
2014/11/12,0,0.07,0.77,-0.34
2014/11/11,0,0.1,0,-0.22
2014/11/10,0,0.33,0.17,-0.54
2014/11/7,0,0.09,0,0.55
2014/11/6,0,0.49,0.07,-0.5
2014/11/5,0,0.48,-0.54,0.89
2014/11/4,0,-0.35,-0.01,-0.3
2014/11/3,0,-0.01,-0.25,-0.09
2014/10/31,0,1.23,0.27,0.13
2014/10/30,0,0.6,0.29,-0.49
2014/10/29,0,-0.18,0.01,0.33
2014/10/28,0,1.37,1.56,-0.01
2014/10/27,0,-0.17,0.12,-0.34
2014/10/24,0,0.66,-0.44,-0.19
2014/10/23,0,1.29,0.5,-0.52
2014/10/22,0,-0.85,-0.53,0.09
2014/10/21,0,1.98,-0.41,0.03
2014/10/20,0,0.94,0.18,-0.22
2014/10/17,0,1.14,-1.55,-0.2
2014/10/16,0,0.23,1.05,0.22
2014/10/15,0,-0.53,1.73,-1.19
2014/10/14,0,0.28,0.82,0.07
2014/10/13,0,-1.59,1.37,0.48
2014/10/10,0,-1.3,-0.12,0.61
2014/10/9,0,-2.17,-0.4,-0.43
2014/10/8,0,1.7,0.03,-0.13
2014/10/7,0,-1.56,-0.12,0.24
2014/10/6,0,-0.26,-0.76,0.39
2014/10/3,0,1.08,-0.39,-0.43
2014/10/2,0,0.15,1,-0.41
2014/10/1,0,-1.39,-0.13,0.32
2014/9/30,0,-0.4,-0.98,0.07
2014/9/29,0,-0.22,0.15,-0.42
2014/9/26,0,0.85,-0.05,-0.25
2014/9/25,0,-1.62,0.09,0.18
2014/9/24,0,0.81,0.06,-0.91
2014/9/23,0,-0.62,-0.31,-0.02
2014/9/22,0,-0.97,-0.55,0.09
2014/9/19,0,-0.18,-0.96,0.12
2014/9/18,0,0.5,0.03,-0.17
2014/9/17,0,0.17,0.06,-0.22
2014/9/16,0,0.7,-0.4,-0.12
2014/9/15,0,-0.28,-1.04,0.68
2014/9/12,0,-0.55,-0.2,-0.05
2014/9/11,0,0.19,0.47,0.22
2014/9/10,0,0.45,0.21,-0.48
2014/9/9,0,-0.72,-0.42,0.03
2014/9/8,0,-0.22,0.52,-0.54
2014/9/5,0,0.45,-0.28,-0.02
2014/9/4,0,-0.17,-0.14,-0.2
2014/9/3,0,-0.14,-0.56,0.29
2014/9/2,0,0.06,0.47,-0.21
2014/8/29,0,0.39,0.28,0.07
2014/8/28,0,-0.19,-0.42,0.13
2014/8/27,0,0,-0.25,0.26
2014/8/26,0,0.19,0.7,-0.39
2014/8/25,0,0.5,-0.23,0.05
2014/8/22,0,-0.1,0.31,-0.39
2014/8/21,0,0.28,-0.11,0.69
2014/8/20,0,0.19,-0.66,0.2
2014/8/19,0,0.49,-0.11,-0.07
2014/8/18,0,0.93,0.61,-0.32
2014/8/15,0,0,-0.16,-0.05
2014/8/14,0,0.44,-0.21,0.04
2014/8/13,0,0.69,-0.08,-0.26
2014/8/12,0,-0.23,-0.58,0.27
2014/8/11,0,0.4,0.59,-0.3
2014/8/8,0,1.13,-0.22,-0.02
2014/8/7,0,-0.52,-0.03,0
2014/8/6,0,0.02,0.44,-0.06
2014/8/5,0,-0.84,0.78,-0.32
2014/8/4,0,0.74,0,-0.25
2014/8/1,0,-0.32,-0.18,-0.03
2014/7/31,0,-2.03,-0.16,0.48
2014/7/30,0,0.12,0.44,-0.5
2014/7/29,0,-0.33,0.67,-0.56
2014/7/28,0,-0.08,-0.46,0.3
2014/7/25,0,-0.53,-0.34,0.13
2014/7/24,0,0.05,-0.27,-0.08
2014/7/23,0,0.19,0.12,-0.58
2014/7/22,0,0.53,0.25,-0.28
2014/7/21,0,-0.25,-0.23,0.03
2014/7/18,0,1.12,0.49,-0.55
2014/7/17,0,-1.21,-0.37,0.14
2014/7/16,0,0.32,-0.65,0.48
2014/7/15,0,-0.32,-0.93,0.98
2014/7/14,0,0.46,0,-0.14
2014/7/11,0,0.12,-0.24,-0.36
2014/7/10,0,-0.49,-0.6,0.07
2014/7/9,0,0.46,-0.4,-0.11
2014/7/8,0,-0.82,-0.65,0.79
2014/7/7,0,-0.62,-1.26,0.41
2014/7/3,0,0.59,0.21,0.02
2014/7/2,0,-0.03,-0.45,-0.2
2014/7/1,0,0.74,0.49,-0.48
2014/6/30,0,0.07,0.24,0.24
2014/6/27,0,0.26,0.48,-0.23
2014/6/26,0,-0.11,-0.08,0.1
2014/6/25,0,0.53,0.36,0.01
2014/6/24,0,-0.72,-0.33,-0.18
2014/6/23,0,-0.01,-0.25,0.07
2014/6/20,0,0.18,0.19,-0.07
2014/6/19,0,0.12,-0.17,0.06
2014/6/18,0,0.75,-0.29,0
2014/6/17,0,0.34,0.57,0.38
2014/6/16,0,0.13,0.37,-0.58
2014/6/13,0,0.31,-0.08,-0.11
2014/6/12,0,-0.68,0.08,0.23
