Final Project: Stock Data,,,,,,
,,,,,,
Group,Symbol,Price,ADV,Volatility,LnMktCap,EstReturn %
19,VTR,67.09,"2,105,000",0.186,23.59,0.12
19,VZ,46.79,"18,266,000",0.1472,25.94,0.08
19,WAT,133.49,"490,000",0.1997,23.11,0.13
19,WBA,96.25,"5,780,000",0.2541,25.23,0.12
19,WDC,86.06,"2,052,000",0.2602,23.39,0.15
19,WEC,48.77,"1,806,000",0.1722,23.47,0.12
19,WFC,57.49,"15,706,000",0.1459,26.37,0.11
19,WFM,36.4,"4,695,000",0.3017,23.03,0.13
19,WHR,176.77,"1,020,000",0.2699,23.28,0.18
19,WM,51.13,"2,014,000",0.1419,23.91,0.06
19,WMB,52.48,"7,044,000",0.3065,24.05,0.19
19,WMT,71.49,"6,634,000",0.1389,25.98,0.09
19,WU,20.24,"6,047,000",0.2321,22.98,0.10
20,WY,30.69,"4,163,000",0.17,23.52,0.08
20,WYN,82.05,"1,058,000",0.1973,22.91,0.13
20,WYNN,102.72,"1,845,000",0.3547,22.59,0.16
20,XEC,103.97,"1,205,000",0.3376,23.17,0.19
20,XEL,34.67,"3,028,000",0.1572,23.62,0.07
20,XL,38.02,"2,198,000",0.1428,23.16,0.08
20,XLNX,41.44,"3,425,000",0.2482,23.26,0.12
20,XOM,78.48,"12,241,000",0.1632,26.56,0.12
20,XRAY,56.91,"826,000",0.1544,22.87,0.08
20,XRX,11.02,"9,733,000",0.254,23.1,0.16
20,XYL,34.38,"1,118,000",0.2322,22.63,0.15
20,YHOO,36.67,"19,994,000",0.2934,24.16,0.17
20,YUM,87.76,"3,274,000",0.2155,24.17,0.11
20,ZBH,104.07,"1,183,000",0.1926,23.76,0.08
20,ZION,31.13,"2,432,000",0.2305,22.54,0.16
20,ZTS,48.9,"3,825,000",0.2301,23.87,0.12
