Final Project: Stock Data,,,,,,
,,,,,,
Group,Symbol,Price,ADV,Volatility,LnMktCap,EstReturn %
5,CRM,73.3,"5,085,000",0.3294,24.71,0.18
5,CSC,65.18,"1,145,000",0.2272,22.99,0.10
5,CSCO,28.42,"32,964,000",0.2038,25.65,0.08
5,CSX,31.07,"7,036,000",0.2073,24.07,0.14
5,CTAS,85.5,"598,000",0.1652,23.02,0.13
5,CTL,28.03,"4,687,000",0.2009,23.46,0.09
5,CTSH,63.1,"4,000,000",0.2452,24.4,0.16
5,CTXS,75.61,"2,317,000",0.2607,23.2,0.17
5,CVC,28.05,"3,234,000",0.2942,22.85,0.19
5,CVS,112.47,"4,752,000",0.1471,25.35,0.10
5,CVX,87.38,"6,696,000",0.1807,25.87,0.09
5,D,71.04,"2,558,000",0.1615,24.42,0.08
5,DAL,44.21,"13,235,000",0.3313,24.34,0.19
5,DD,55.36,"4,717,000",0.1796,24.84,0.07
5,DE,94.57,"3,061,000",0.1545,23.94,0.11
5,DFS,55.53,"2,974,000",0.1961,23.92,0.11
5,DG,80.37,"4,001,000",0.2192,23.69,0.14
5,DGX,73.81,"1,759,000",0.1961,23,0.12
5,DHI,29.63,"6,200,000",0.313,23.24,0.16
6,DHR,91.56,"2,958,000",0.1596,24.92,0.06
6,DIS,120,"6,718,000",0.174,26.02,0.11
6,DISCA,33.02,"3,310,000",0.2535,23.31,0.14
6,DISCK,30.3,"1,588,000",0.2464,23.26,0.15
6,DLPH,77.83,"1,995,000",0.2153,23.94,0.09
6,DLTR,78.03,"2,410,000",0.1855,23.58,0.09
6,DNB,124.23,"342,000",0.2125,22.08,0.09
6,DO,21.83,"1,718,000",0.3674,21.89,0.22
6,DOV,63.61,"1,407,000",0.2018,23.05,0.11
6,DOW,47.06,"8,737,000",0.238,24.85,0.11
6,DPS,80.22,"1,458,000",0.1611,23.55,0.09
6,DRI,73.76,"1,594,000",0.2168,22.7,0.10
6,DTE,80.46,"1,073,000",0.1627,23.39,0.11
6,DUK,73.41,"3,217,000",0.1494,24.57,0.12
6,DVA,79.03,"1,272,000",0.1704,23.46,0.10
6,DVN,49.42,"3,453,000",0.2709,23.68,0.18
6,EA,71.55,"4,043,000",0.3221,23.77,0.18
6,EBAY,28.12,"26,195,000",0.2187,24.28,0.15
6,ECL,115.81,"1,091,000",0.1697,24.29,0.12
6,ED,62.98,"2,232,000",0.1541,23.63,0.07
6,EFX,101.85,"577,000",0.1653,23.29,0.08
6,EIX,60.01,"2,102,000",0.1719,23.69,0.08
6,EL,88.84,"1,750,000",0.177,23.68,0.10
6,EMC,26.89,"16,974,000",0.1922,24.63,0.14
6,EMN,78.4,"1,504,000",0.2287,23.1,0.10
7,EMR,51.25,"3,690,000",0.1713,24.21,0.12
7,ENDP,87.54,"2,360,000",0.3272,23.34,0.18
7,EOG,77.19,"4,225,000",0.2766,24.57,0.16
7,EQIX,277.17,"803,000",0.2206,23.58,0.12
7,EQR,74.81,"1,852,000",0.1668,24.09,0.07
7,EQT,76.82,"1,435,000",0.2644,22.93,0.12
7,ES,49.72,"1,610,000",0.161,23.5,0.06
7,ESRX,90.07,"4,444,000",0.1876,24.79,0.11
7,ESS,224.91,"393,000",0.171,23.44,0.07
7,ESV,16.43,"3,942,000",0.3537,22.14,0.21
7,ETFC,28.42,"3,550,000",0.3037,22.89,0.19
7,ETN,60.58,"2,799,000",0.221,24.01,0.09
7,ETR,70.16,"1,531,000",0.1744,23.2,0.13
7,EW,152.16,"1,141,000",0.2616,23.58,0.15
7,EXC,31.78,"7,169,000",0.205,23.96,0.09
7,EXPD,46.87,"1,333,000",0.1985,22.94,0.10
7,EXPE,121.17,"2,280,000",0.3425,23.48,0.16
7,F,14.83,"31,536,000",0.2067,24.78,0.13
7,FAST,41.86,"2,156,000",0.2234,23.17,0.14
7,FB,94.01,"46,963,000",0.3272,26.43,0.21
7,FCX,11.75,"13,717,000",0.3663,22.98,0.17
7,FDX,171.13,"1,874,000",0.1861,24.56,0.11
7,FE,33.6,"3,485,000",0.2077,23.3,0.13
7,FFIV,134.14,"1,303,000",0.2684,22.7,0.17
7,FIS,65.43,"1,231,000",0.1657,23.63,0.12
8,FISV,86.86,"1,095,000",0.1555,23.81,0.07
8,FITB,21.07,"7,720,000",0.1864,23.51,0.13
8,FLIR,30.68,"869,000",0.2403,22.15,0.11
8,FLR,46.53,"1,482,000",0.2372,22.65,0.15
8,FLS,46.99,"1,229,000",0.2561,22.53,0.13
8,FMC,48.54,"1,030,000",0.1952,22.47,0.11
8,FOSL,68.75,"903,000",0.302,21.35,0.16
8,FOXA,34.3,"12,678,000",0.209,24.8,0.13
8,FSLR,44.3,"3,397,000",0.4569,22.46,0.21
8,FTI,32.76,"2,341,000",0.2881,22.78,0.16
8,FTR,4.72,"12,201,000",0.3081,22.47,0.18
8,GAS,47.58,"698,000",0.1702,22.74,0.10
8,GD,149.11,"1,651,000",0.1714,24.56,0.11
8,GE,26.1,"34,435,000",0.1672,26.47,0.10
8,GGP,27.14,"4,273,000",0.1648,23.84,0.07
8,GILD,117.86,"12,655,000",0.3021,25.76,0.17
8,GIS,58.21,"2,988,000",0.14,24.27,0.08
8,GLW,18.54,"9,933,000",0.2336,23.87,0.11
8,GM,31.51,"17,291,000",0.2331,24.77,0.11
8,GMCR,75.04,"2,734,000",0.4133,22.71,0.23
8,GME,45.45,"2,773,000",0.3933,22.11,0.20
8,GNW,7.01,"7,115,000",0.4777,21.66,0.25
8,GOOGL,657.5,"2,678,000",0.2417,27,0.13
8,GPC,88.28,"695,000",0.1657,23.33,0.08
8,GPS,36.48,"4,298,000",0.2353,23.15,0.12
9,GRMN,41.91,"1,460,000",0.2563,22.71,0.14
9,GS,204.37,"2,843,000",0.1773,25.12,0.12
9,GT,30.13,"3,885,000",0.2865,22.95,0.18
9,GWW,227.53,"480,000",0.1762,23.25,0.09
9,HAL,41.6,"11,750,000",0.2893,24.25,0.18
9,HAR,107.32,"827,000",0.3703,22.72,0.21
9,HAS,78.74,"1,267,000",0.2094,22.97,0.09
9,HBAN,11.67,"9,125,000",0.1922,22.95,0.12
9,HBI,30.93,"3,028,000",0.2425,23.24,0.15
9,HCA,93.01,"3,435,000",0.252,24.06,0.16
9,HCBK,10.27,"3,401,000",0.187,22.4,0.13
9,HCN,68.53,"2,120,000",0.1755,23.82,0.08
9,HCP,38.07,"2,889,000",0.1858,23.52,0.08
9,HD,116.44,"6,136,000",0.1723,25.87,0.07
9,HES,59.01,"2,808,000",0.2473,23.59,0.15
9,HIG,47.34,"3,418,000",0.1803,23.67,0.12
9,HOG,58.3,"1,675,000",0.2274,22.98,0.12
9,HON,104.54,"2,729,000",0.1593,25.1,0.07
9,HOT,79.46,"2,136,000",0.2291,23.22,0.14
9,HP,57.1,"1,546,000",0.3332,22.56,0.17
9,HPQ,30.33,"12,691,000",0.2718,24.01,0.17
9,HRB,33.1,"2,418,000",0.2309,23.04,0.10
9,HRL,59.21,"752,000",0.1708,23.66,0.12
9,HRS,82.94,"733,000",0.189,23.05,0.13
9,HSIC,147.98,"461,000",0.1481,23.27,0.08
10,HST,19.38,"6,510,000",0.1923,23.23,0.13
10,HSY,92.3,"1,035,000",0.1532,23.66,0.07
10,HUM,182.09,"1,474,000",0.2796,23.94,0.18
10,IBM,160.66,"4,445,000",0.1812,25.64,0.12
10,ICE,228.04,"804,000",0.1971,24.07,0.10
10,IFF,115.59,"414,000",0.1748,22.99,0.11
10,INTC,28.71,"31,586,000",0.2186,25.81,0.11
10,INTU,105.77,"1,663,000",0.1727,24,0.08
10,IP,47.46,"3,376,000",0.1982,23.58,0.12
10,IPG,21.17,"4,428,000",0.2045,22.96,0.11
10,IR,61.4,"2,131,000",0.2033,23.45,0.11
10,IRM,30.05,"1,866,000",0.2648,22.53,0.11
10,ISRG,533.17,"410,000",0.305,23.69,0.15
10,ITW,89.47,"1,858,000",0.1451,24.25,0.12
10,IVZ,38.32,"3,060,000",0.2103,23.37,0.10
10,JBHT,84.12,"859,000",0.1705,22.91,0.10
10,JCI,45.26,"3,709,000",0.2153,24.11,0.12
10,JEC,42.12,"1,124,000",0.2232,22.42,0.13
10,JNJ,99.45,"7,773,000",0.1419,26.37,0.08
10,JNPR,28.31,"6,523,000",0.2779,23.19,0.15
10,JOY,26.17,"1,629,000",0.2755,21.13,0.15
10,JPM,68.53,"16,495,000",0.1847,26.23,0.13
10,JWN,75.93,"1,397,000",0.2023,23.1,0.12
10,K,65.68,"1,882,000",0.1554,23.91,0.09
10,KEY,14.76,"9,935,000",0.2097,23.12,0.12
11,KIM,24.71,"2,970,000",0.1663,23.11,0.08
11,KLAC,52.53,"1,467,000",0.2278,23.06,0.16
11,KMB,114,"1,659,000",0.1464,24.51,0.12
11,KMI,34.64,"10,603,000",0.2066,24.71,0.13
11,KMX,64.51,"1,628,000",0.281,23.18,0.17
11,KO,41.08,"14,722,000",0.139,25.97,0.05
11,KORS,41.99,"3,825,000",0.3536,22.8,0.17
11,KR,39.13,"7,226,000",0.1727,24.32,0.08
11,KSS,60.78,"2,784,000",0.2437,22.97,0.11
11,KSU,99.19,"1,047,000",0.2644,23.03,0.12
11,L,38.04,"1,052,000",0.1461,23.32,0.10
11,LB,80.22,"1,749,000",0.213,24.06,0.13
11,LEG,47.81,"993,000",0.1818,22.57,0.12
11,LEN,53.04,"3,827,000",0.2769,23.11,0.16
11,LH,127.29,"993,000",0.1884,23.23,0.11
11,LLL,114.81,"746,000",0.2106,23.01,0.10
11,LLTC,40.71,"2,227,000",0.1932,23.11,0.14
11,LLY,84,"4,936,000",0.1809,25.26,0.09
11,LM,49.34,"1,102,000",0.2199,22.27,0.12
11,LMT,205.59,"1,467,000",0.1653,24.97,0.09
11,LNC,56.32,"1,992,000",0.2347,23.33,0.12
11,LOW,69.36,"5,824,000",0.2013,25,0.09
11,LRCX,76.55,"1,937,000",0.2616,23.23,0.14
11,LUK,23.52,"1,420,000",0.1926,22.6,0.11
11,LUV,36.13,"7,545,000",0.2817,24.13,0.16
12,LVLT,50.5,"2,046,000",0.2902,23.62,0.16
